86 4
k power error
2.26936e-02 7.08827e+04 3.70373e+03
2.76670e-02 6.44343e+04 3.01545e+03
3.26280e-02 5.75035e+04 2.22035e+03
3.75931e-02 5.11833e+04 1.79403e+03
4.25791e-02 4.23181e+04 1.46176e+03
4.75743e-02 3.84063e+04 1.10059e+03
5.25712e-02 3.58282e+04 9.48735e+02
5.75864e-02 3.44852e+04 8.55356e+02
6.25734e-02 3.30781e+04 6.93307e+02
6.75683e-02 2.92259e+04 6.20435e+02
7.25645e-02 2.72783e+04 5.27110e+02
7.75554e-02 2.48669e+04 5.40705e+02
8.25464e-02 2.21151e+04 4.58898e+02
8.75343e-02 2.07130e+04 4.28226e+02
9.25356e-02 1.89543e+04 3.17537e+02
9.75405e-02 1.68020e+04 2.99428e+02
1.02544e-01 1.61469e+04 2.56828e+02
1.07540e-01 1.51235e+04 2.55573e+02
1.12535e-01 1.46207e+04 2.54687e+02
1.17530e-01 1.35267e+04 2.57092e+02
1.22543e-01 1.31677e+04 2.09954e+02
1.27538e-01 1.29573e+04 1.82877e+02
1.32536e-01 1.21306e+04 1.63566e+02
1.37523e-01 1.14928e+04 1.57441e+02
1.42525e-01 1.08070e+04 1.51024e+02
1.47532e-01 1.00189e+04 1.39283e+02
1.52533e-01 9.46631e+03 1.35614e+02
1.57537e-01 8.92674e+03 1.15732e+02
1.62532e-01 8.45777e+03 1.20587e+02
1.67531e-01 8.32437e+03 1.07480e+02
1.72524e-01 7.85025e+03 9.44760e+01
1.77517e-01 7.58812e+03 8.08787e+01
1.82517e-01 7.28129e+03 9.40074e+01
1.87522e-01 7.01434e+03 9.56254e+01
1.92519e-01 6.79794e+03 9.02709e+01
1.97519e-01 6.52120e+03 6.79178e+01
2.02520e-01 6.22859e+03 7.50870e+01
2.07522e-01 6.00295e+03 7.62687e+01
2.12522e-01 5.85824e+03 7.42299e+01
2.17518e-01 5.58495e+03 5.92195e+01
2.22519e-01 5.39768e+03 6.30050e+01
2.27516e-01 5.20505e+03 7.06886e+01
2.32517e-01 5.07557e+03 6.27699e+01
2.37520e-01 4.92305e+03 5.48536e+01
2.42520e-01 4.70843e+03 4.79613e+01
2.47515e-01 4.55966e+03 5.48316e+01
2.52518e-01 4.40040e+03 5.98595e+01
2.57518e-01 4.24395e+03 5.22391e+01
2.62516e-01 4.10460e+03 5.31430e+01
2.67512e-01 4.02110e+03 4.69930e+01
2.72512e-01 3.96450e+03 4.44071e+01
2.77513e-01 3.81526e+03 4.70013e+01
2.82512e-01 3.72744e+03 4.32812e+01
2.87513e-01 3.60934e+03 4.36756e+01
2.92512e-01 3.48625e+03 3.75312e+01
2.97515e-01 3.40768e+03 3.23074e+01
3.02515e-01 3.35172e+03 3.70745e+01
3.07516e-01 3.20120e+03 3.95201e+01
3.12512e-01 3.16917e+03 4.13728e+01
3.17511e-01 2.99833e+03 3.75004e+01
3.22515e-01 2.96788e+03 3.85666e+01
3.27517e-01 2.92833e+03 3.81549e+01
3.32514e-01 2.83990e+03 3.60685e+01
3.37512e-01 2.79109e+03 3.53397e+01
3.42512e-01 2.70082e+03 3.47054e+01
3.47513e-01 2.64670e+03 3.51629e+01
3.52511e-01 2.55334e+03 3.26616e+01
3.57509e-01 2.53425e+03 3.24243e+01
3.62509e-01 2.47311e+03 3.44004e+01
3.67510e-01 2.42296e+03 3.25576e+01
3.72513e-01 2.34660e+03 3.76958e+01
3.77514e-01 2.29958e+03 3.15919e+01
3.82513e-01 2.27449e+03 3.12653e+01
3.87509e-01 2.19368e+03 3.61784e+01
3.92511e-01 2.12999e+03 2.82276e+01
3.97511e-01 2.09889e+03 3.05102e+01
4.02510e-01 2.09517e+03 3.23695e+01
4.07508e-01 2.01135e+03 2.87448e+01
4.12511e-01 1.96138e+03 3.05221e+01
4.17514e-01 1.91008e+03 2.73428e+01
4.22513e-01 1.90483e+03 2.97172e+01
4.27512e-01 1.83587e+03 2.88410e+01
4.32510e-01 1.79569e+03 2.58622e+01
4.37511e-01 1.78290e+03 2.69738e+01
4.42509e-01 1.73882e+03 2.80397e+01
4.47507e-01 1.71918e+03 2.54109e+01
2.26936e-02 1.65542e+04 9.51317e+03
2.76670e-02 2.10836e+04 7.13833e+03
3.26280e-02 2.96108e+04 5.34387e+03
3.75931e-02 2.94665e+04 4.84437e+03
